DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
2014-11-20,200.4221875,106.58134020833333,160.65617166666667,13.685481875,11.04749125,39.766015833333334,27.38282166666667,11.19059,189.11,29000.05,10.14
2014-11-21,200.37273645833332,106.58052395833333,160.65655395833335,13.652716666666667,11.031100833333333,39.7161825,28.09870625,11.147375416666666,187.96,28946.38,10.08
2014-11-22,200.24440375,106.57909520833333,160.59421791666668,13.355621875,11.041441458333333,39.65018583333333,24.18063666666667,11.06189,187.72,28822.89,10.07
2014-11-23,199.82128395833334,106.21424645833333,160.2161075,13.47957875,10.990355625,39.60517645833333,31.55876375,11.017725,181.04,28304.45,10.05
2014-11-24,200.58976604166668,106.55627666666666,161.10416333333333,13.246638541666666,10.956053541666666,39.48560270833333,32.33159583333333,10.940243333333333,188.01,28633.37,6.21
2014-11-25,200.74649812865496,106.55130929824561,161.27720046783625,13.262871637426901,9.714078958333333,39.46929766081871,32.674112573099414,10.924469005847953,150.52,22229.56,4.51
2014-11-26,242.84731,104.24026,167.38537,4.93598,1.2727829166666667,75.46194,12.69244,45.90912,0.0,0.0,0.0
2014-11-27,253.13721,103.76789,171.30255,3.09706,1.231765,81.83466,8.72379,52.26764,0.0,0.0,0.0
2014-11-28,257.43999,103.39161,173.1738,2.58662,1.2013745833333334,84.26619,7.90285,54.73907,0.0,0.0,0.0
2014-11-29,260.90213,103.14748,174.59564,4.6791,1.1828570833333334,86.30649,6.91074,56.84363,0.0,0.0,0.0
2014-11-30,263.96214,102.96274,175.76465,10.56942,1.15189625,88.19749,7.33625,58.46321,0.0,0.0,0.0
2014-12-01,266.75066,102.81553,176.76425,10.21988,1.1474608333333334,89.98641,7.17341,60.40675,0.0,0.0,0.0
2014-12-02,269.32704,102.69395,177.64528,9.9933,1.1050739583333333,91.68176,9.03612,62.09087,0.0,0.0,0.0
2014-12-03,271.72079,102.59015,178.42782,9.84835,1.0258902083333334,93.29297,11.49193,63.70276,0.0,0.0,0.0
2014-12-04,273.94754,102.49998,179.1369,9.66291,1.0256252083333333,94.81064,10.23784,64.87002,0.0,0.0,0.0
2014-12-05,276.0545,102.41986,179.8209,9.47772,0.9983889583333333,96.2336,8.95381,66.67185,0.0,0.0,0.0
2014-12-06,278.04282,102.34751,180.41096,9.3483,0.9349216666666667,97.63186,9.47812,68.04852,0.0,0.0,0.0
2014-12-07,279.90957,102.28291,180.97554,9.26681,0.9354908333333334,98.93403,9.56128,69.32674,0.0,0.0,0.0
2014-12-08,281.67688,102.22357,181.5329,9.1007,0.9483291666666667,100.14398,8.07459,70.53129,0.0,0.0,0.0
2014-12-09,283.35158,102.16835,182.003,9.0297,0.9427704166666667,101.34858,8.106,71.75527,0.0,0.0,0.0
2014-12-10,284.93922,102.11775,182.46012,8.9653,0.9405016666666667,102.4791,8.06499,72.84433,0.0,0.0,0.0
2014-12-11,286.4503,102.07119,182.9182,8.84664,0.9826485416666667,103.5321,6.88616,73.87842,0.0,0.0,0.0
2014-12-12,287.8721,102.02719,183.33433,8.78534,0.938034375,104.53777,7.35106,74.87942,0.0,0.0,0.0
2014-12-13,289.23264,101.98625,183.71746,8.71338,1.0001964583333334,105.51518,7.56557,75.8632,0.0,0.0,0.0
2014-12-14,290.53075,101.9473,183.99999,8.74843,0.876590625,106.53076,8.94334,76.89024,0.0,0.0,0.0
2014-12-15,291.7758,101.91138,184.40713,8.63097,0.9692314583333334,107.36867,7.31193,77.727,0.0,0.0,0.0
2014-12-16,292.9918,101.87595,184.72952,8.60152,0.0,108.26228,7.72022,78.62128,0.0,0.0,0.0
2014-12-17,294.1419,101.84261,184.9705,8.61299,0.0,109.1714,8.84347,79.53737,0.0,0.0,0.0
2014-12-18,295.24091,101.81093,185.19731,8.62976,0.0,110.0436,10.27459,81.0662,0.0,0.0,0.0
2014-12-19,296.2914,101.78145,185.50046,8.52246,0.0,110.79094,8.15535,80.86556,0.0,0.0,0.0
